line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
0,ΑΓ. ΒΑΣΙΛΕΙΟΣ - ΑΓ. ΣΟΦΙΑ - ΚΡΑΤ. ΝΙΚΑΙΑΣ,AG. VASILEIOS - AG. SOFIA - KRAT. NIKAIAS,909,,59,,,,,,,,,1900-01-01 05:30:00,1900-01-01 06:15:00,1900-01-01 05:00:00,1900-01-01 05:35:00,1840
0,ΑΓ. ΒΑΣΙΛΕΙΟΣ - ΑΓ. ΣΟΦΙΑ - ΚΡΑΤ. ΝΙΚΑΙΑΣ,AG. VASILEIOS - AG. SOFIA - KRAT. NIKAIAS,909,,59,,,,,,,,,1900-01-01 05:55:00,1900-01-01 06:40:00,1900-01-01 05:25:00,1900-01-01 06:00:00,1841
0,ΑΓ. ΒΑΣΙΛΕΙΟΣ - ΑΓ. ΣΟΦΙΑ - ΚΡΑΤ. ΝΙΚΑΙΑΣ,AG. VASILEIOS - AG. SOFIA - KRAT. NIKAIAS,909,,59,,,,,,,,,1900-01-01 06:23:00,1900-01-01 07:05:00,1900-01-01 05:50:00,1900-01-01 06:25:00,1842
0,ΑΓ. ΒΑΣΙΛΕΙΟΣ - ΑΓ. ΣΟΦΙΑ - ΚΡΑΤ. ΝΙΚΑΙΑΣ,AG. VASILEIOS - AG. SOFIA - KRAT. NIKAIAS,909,,59,,,,,,,,,1900-01-01 06:50:00,1900-01-01 07:30:00,1900-01-01 06:15:00,1900-01-01 06:50:00,1840
0,ΑΓ. ΒΑΣΙΛΕΙΟΣ - ΑΓ. ΣΟΦΙΑ - ΚΡΑΤ. ΝΙΚΑΙΑΣ,AG. VASILEIOS - AG. SOFIA - KRAT. NIKAIAS,909,,59,,,,,,,,,1900-01-01 07:15:00,1900-01-01 07:55:00,1900-01-01 06:40:00,1900-01-01 07:15:00,1841
0,ΑΓ. ΒΑΣΙΛΕΙΟΣ - ΑΓ. ΣΟΦΙΑ - ΚΡΑΤ. ΝΙΚΑΙΑΣ,AG. VASILEIOS - AG. SOFIA - KRAT. NIKAIAS,909,,59,,,,,,,,,1900-01-01 07:40:00,1900-01-01 08:20:00,1900-01-01 07:05:00,1900-01-01 07:40:00,1842
0,ΑΓ. ΒΑΣΙΛΕΙΟΣ - ΑΓ. ΣΟΦΙΑ - ΚΡΑΤ. ΝΙΚΑΙΑΣ,AG. VASILEIOS - AG. SOFIA - KRAT. NIKAIAS,909,,59,,,,,,,,,1900-01-01 08:10:00,1900-01-01 09:15:00,1900-01-01 07:30:00,1900-01-01 08:30:00,1840
0,ΑΓ. ΒΑΣΙΛΕΙΟΣ - ΑΓ. ΣΟΦΙΑ - ΚΡΑΤ. ΝΙΚΑΙΑΣ,AG. VASILEIOS - AG. SOFIA - KRAT. NIKAIAS,909,,59,,,,,,,,,1900-01-01 08:35:00,1900-01-01 09:55:00,1900-01-01 07:55:00,1900-01-01 09:10:00,1841
0,ΑΓ. ΒΑΣΙΛΕΙΟΣ - ΑΓ. ΣΟΦΙΑ - ΚΡΑΤ. ΝΙΚΑΙΑΣ,AG. VASILEIOS - AG. SOFIA - KRAT. NIKAIAS,909,,59,,,,,,,,,1900-01-01 09:00:00,1900-01-01 10:16:00,1900-01-01 08:20:00,1900-01-01 09:30:00,1842
0,ΑΓ. ΒΑΣΙΛΕΙΟΣ - ΑΓ. ΣΟΦΙΑ - ΚΡΑΤ. ΝΙΚΑΙΑΣ,AG. VASILEIOS - AG. SOFIA - KRAT. NIKAIAS,909,,59,,,,,,,,,1900-01-01 09:20:00,1900-01-01 11:20:00,1900-01-01 08:40:00,1900-01-01 10:30:00,1843
0,ΑΓ. ΒΑΣΙΛΕΙΟΣ - ΑΓ. ΣΟΦΙΑ - ΚΡΑΤ. ΝΙΚΑΙΑΣ,AG. VASILEIOS - AG. SOFIA - KRAT. NIKAIAS,909,,59,,,,,,,,,1900-01-01 09:40:00,1900-01-01 10:38:00,1900-01-01 09:00:00,1900-01-01 09:50:00,1844
0,ΑΓ. ΒΑΣΙΛΕΙΟΣ - ΑΓ. ΣΟΦΙΑ - ΚΡΑΤ. ΝΙΚΑΙΑΣ,AG. VASILEIOS - AG. SOFIA - KRAT. NIKAIAS,909,,59,,,,,,,,,1900-01-01 10:00:00,1900-01-01 11:00:00,1900-01-01 09:20:00,1900-01-01 10:10:00,1840
0,ΑΓ. ΒΑΣΙΛΕΙΟΣ - ΑΓ. ΣΟΦΙΑ - ΚΡΑΤ. ΝΙΚΑΙΑΣ,AG. VASILEIOS - AG. SOFIA - KRAT. NIKAIAS,909,,59,,,,,,,,,1900-01-01 10:22:00,1900-01-01 12:15:00,1900-01-01 09:40:00,1900-01-01 11:25:00,1845
0,ΑΓ. ΒΑΣΙΛΕΙΟΣ - ΑΓ. ΣΟΦΙΑ - ΚΡΑΤ. ΝΙΚΑΙΑΣ,AG. VASILEIOS - AG. SOFIA - KRAT. NIKAIAS,909,,59,,,,,,,,,1900-01-01 10:45:00,1900-01-01 11:35:00,1900-01-01 10:00:00,1900-01-01 10:45:00,1841
