line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 11:58:00,1900-01-01 13:13:00,1900-01-01 10:55:00,1900-01-01 12:18:00,2441
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 12:20:00,1900-01-01 13:39:00,1900-01-01 11:15:00,1900-01-01 12:44:00,2443
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 12:35:00,1900-01-01 13:30:00,1900-01-01 11:35:00,1900-01-01 12:35:00,2755
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 13:00:00,1900-01-01 13:56:00,1900-01-01 11:55:00,1900-01-01 13:01:00,2444
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 13:19:00,1900-01-01 14:14:00,1900-01-01 12:14:00,1900-01-01 13:19:00,2445
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 13:36:00,1900-01-01 14:31:00,1900-01-01 12:31:00,1900-01-01 13:36:00,2440
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 13:53:00,1900-01-01 14:48:00,1900-01-01 12:48:00,1900-01-01 13:53:00,2449
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 14:10:00,1900-01-01 15:05:00,1900-01-01 13:05:00,1900-01-01 14:10:00,2450
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 14:26:00,1900-01-01 15:21:00,1900-01-01 13:21:00,1900-01-01 14:26:00,2754
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 14:42:00,1900-01-01 15:37:00,1900-01-01 13:37:00,1900-01-01 14:42:00,2755
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 14:58:00,1900-01-01 15:53:00,1900-01-01 13:53:00,1900-01-01 14:58:00,2438
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 15:14:00,1900-01-01 16:09:00,1900-01-01 14:09:00,1900-01-01 15:14:00,2437
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 15:30:00,1900-01-01 16:25:00,1900-01-01 14:25:00,1900-01-01 15:30:00,2446
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 15:46:00,1900-01-01 16:41:00,1900-01-01 14:41:00,1900-01-01 15:46:00,2448
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 16:02:00,,1900-01-01 14:57:00,,2439
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 16:02:00,1900-01-01 16:57:00,1900-01-01 14:57:00,1900-01-01 16:02:00,2439
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 16:18:00,1900-01-01 17:15:00,1900-01-01 15:13:00,1900-01-01 16:20:00,2441
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 16:30:00,1900-01-01 17:25:00,1900-01-01 15:29:00,1900-01-01 16:30:00,2447
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 16:50:00,1900-01-01 17:55:00,1900-01-01 15:45:00,1900-01-01 17:00:00,2443
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 17:06:00,1900-01-01 18:05:00,1900-01-01 16:01:00,1900-01-01 17:10:00,2444
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 17:22:00,1900-01-01 18:35:00,1900-01-01 16:17:00,1900-01-01 17:40:00,2445
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 17:22:00,,1900-01-01 16:17:00,,2445
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 17:38:00,1900-01-01 18:55:00,1900-01-01 16:33:00,1900-01-01 18:00:00,2440
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 17:54:00,1900-01-01 20:10:00,1900-01-01 16:49:00,1900-01-01 19:20:00,2449
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 18:10:00,1900-01-01 19:25:00,1900-01-01 17:05:00,1900-01-01 18:30:00,2450
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 18:30:00,1900-01-01 19:30:00,1900-01-01 17:25:00,1900-01-01 18:40:00,2447
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 18:50:00,1900-01-01 20:05:00,1900-01-01 17:45:00,1900-01-01 19:10:00,2755
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 19:10:00,1900-01-01 20:25:00,1900-01-01 18:05:00,1900-01-01 19:30:00,2444
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 19:30:00,,1900-01-01 18:25:00,,2437
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 19:48:00,1900-01-01 20:41:00,1900-01-01 18:45:00,1900-01-01 19:50:00,2446
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 20:05:00,1900-01-01 21:00:00,1900-01-01 19:05:00,1900-01-01 20:10:00,2448
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 20:25:00,1900-01-01 21:15:00,1900-01-01 19:25:00,1900-01-01 20:25:00,2450
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 20:45:00,1900-01-01 21:40:00,1900-01-01 19:45:00,1900-01-01 20:50:00,2439
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 21:00:00,1900-01-01 21:50:00,1900-01-01 20:05:00,1900-01-01 21:00:00,2755
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 21:21:00,,1900-01-01 20:25:00,,2444
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 21:38:00,,1900-01-01 20:45:00,,2446
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 21:55:00,1900-01-01 23:00:00,1900-01-01 21:05:00,1900-01-01 22:15:00,2448
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 22:15:00,1900-01-01 23:20:00,1900-01-01 21:25:00,1900-01-01 22:35:00,2441
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 22:40:00,,1900-01-01 21:50:00,,2755
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 23:15:00,1900-01-02 00:00:00,1900-01-01 22:25:00,1900-01-01 23:15:00,2443
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-01 23:50:00,1900-01-02 00:45:00,1900-01-01 23:00:00,1900-01-02 00:00:00,2448
0,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ - ΑΧΑΡΝΑΙ (ΜΕΣΩ ΑΡΙΣΤΟΤΕΛΟΥΣ),STATHMOS LARISIS - ACHARNAI (VIA ARISTOTELOYS),Β10,,54,,,,,,,,,1900-01-02 00:30:00,,1900-01-01 23:40:00,,2447
