line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
0,ΑΚΑΔΗΜΙΑ - ΓΛΥΦΑΔΑ (ΜΕΣΩ Λ. ΒΟΥΛΙΑΓΜΕΝΗΣ),AKADIMIA - GLYFADA (VIA L. VOULIAGMENIS),Α3,,54,2,50147191,0,0,1422,1422,1,Jan  1 1900 05:15:00:000AM,1900-01-01 05:59:00,1900-01-01 06:45:00,1900-01-01 05:15:00,1900-01-01 06:00:00,1211
0,ΑΚΑΔΗΜΙΑ - ΓΛΥΦΑΔΑ (ΜΕΣΩ Λ. ΒΟΥΛΙΑΓΜΕΝΗΣ),AKADIMIA - GLYFADA (VIA L. VOULIAGMENIS),Α3,,54,2,50147202,0,1,1422,1422,2,Jan  1 1900 05:40:00:000AM,1900-01-01 06:25:00,1900-01-01 07:30:00,1900-01-01 05:40:00,1900-01-01 06:35:00,1213
0,ΑΚΑΔΗΜΙΑ - ΓΛΥΦΑΔΑ (ΜΕΣΩ Λ. ΒΟΥΛΙΑΓΜΕΝΗΣ),AKADIMIA - GLYFADA (VIA L. VOULIAGMENIS),Α3,,54,3,50147187,0,0,1422,1422,3,Jan  1 1900 06:05:00:000AM,1900-01-01 06:50:00,1900-01-01 07:50:00,1900-01-01 06:05:00,1900-01-01 06:55:00,1210
0,ΑΚΑΔΗΜΙΑ - ΓΛΥΦΑΔΑ (ΜΕΣΩ Λ. ΒΟΥΛΙΑΓΜΕΝΗΣ),AKADIMIA - GLYFADA (VIA L. VOULIAGMENIS),Α3,,54,3,50147197,0,0,1422,1422,4,Jan  1 1900 06:30:00:000AM,1900-01-01 07:23:00,1900-01-01 08:20:00,1900-01-01 06:30:00,1900-01-01 07:20:00,1212
0,ΑΚΑΔΗΜΙΑ - ΓΛΥΦΑΔΑ (ΜΕΣΩ Λ. ΒΟΥΛΙΑΓΜΕΝΗΣ),AKADIMIA - GLYFADA (VIA L. VOULIAGMENIS),Α3,,54,3,50147192,0,0,1422,1422,5,Jan  1 1900 06:45:00:000AM,1900-01-01 07:40:00,1900-01-01 08:47:00,1900-01-01 06:45:00,1900-01-01 07:45:00,1211
0,ΑΚΑΔΗΜΙΑ - ΓΛΥΦΑΔΑ (ΜΕΣΩ Λ. ΒΟΥΛΙΑΓΜΕΝΗΣ),AKADIMIA - GLYFADA (VIA L. VOULIAGMENIS),Α3,,54,2,50147218,0,0,1422,1422,6,Jan  1 1900 07:10:00:000AM,1900-01-01 08:00:00,1900-01-01 09:05:00,1900-01-01 07:10:00,1900-01-01 08:00:00,1216
0,ΑΚΑΔΗΜΙΑ - ΓΛΥΦΑΔΑ (ΜΕΣΩ Λ. ΒΟΥΛΙΑΓΜΕΝΗΣ),AKADIMIA - GLYFADA (VIA L. VOULIAGMENIS),Α3,,54,3,50147208,0,0,1422,1422,7,Jan  1 1900 07:20:00:000AM,1900-01-01 08:15:00,1900-01-01 09:20:00,1900-01-01 07:20:00,1900-01-01 08:15:00,1214
0,ΑΚΑΔΗΜΙΑ - ΓΛΥΦΑΔΑ (ΜΕΣΩ Λ. ΒΟΥΛΙΑΓΜΕΝΗΣ),AKADIMIA - GLYFADA (VIA L. VOULIAGMENIS),Α3,,54,3,50147214,0,0,1422,1422,11,Jan  1 1900 07:47:00:000AM,1900-01-01 08:47:00,1900-01-01 09:55:00,1900-01-01 07:47:00,1900-01-01 08:50:00,1215
0,ΑΚΑΔΗΜΙΑ - ΓΛΥΦΑΔΑ (ΜΕΣΩ Λ. ΒΟΥΛΙΑΓΜΕΝΗΣ),AKADIMIA - GLYFADA (VIA L. VOULIAGMENIS),Α3,,54,4,50147188,0,0,1422,1422,10,Jan  1 1900 07:55:00:000AM,1900-01-01 08:45:00,1900-01-01 10:15:00,1900-01-01 07:55:00,1900-01-01 09:10:00,1210
0,ΑΚΑΔΗΜΙΑ - ΓΛΥΦΑΔΑ (ΜΕΣΩ Λ. ΒΟΥΛΙΑΓΜΕΝΗΣ),AKADIMIA - GLYFADA (VIA L. VOULIAGMENIS),Α3,,54,4,50147198,0,0,1422,1422,13,Jan  1 1900 08:20:00:000AM,1900-01-01 09:20:00,1900-01-01 10:35:00,1900-01-01 08:20:00,1900-01-01 09:30:00,1212
