line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
1,ΚΑΜΑΤΕΡΟ - ΑΓ. ΝΙΚΟΛΑΟΣ - ΙΛΙΟΝ - ΠΟΛΥΤΕΧΝΕΙΟ (ΚΥΚΛΙΚΗ),KAMATERO - AG. NIKOLAOS - ILION - POLYTECHNEIO,Γ12,,54,2,50126848,0,0,832,,1,Jan  1 1900 05:00:00:000AM,1900-01-01 06:06:00,,1900-01-01 05:00:00,,1267
1,ΚΑΜΑΤΕΡΟ - ΑΓ. ΝΙΚΟΛΑΟΣ - ΙΛΙΟΝ - ΠΟΛΥΤΕΧΝΕΙΟ (ΚΥΚΛΙΚΗ),KAMATERO - AG. NIKOLAOS - ILION - POLYTECHNEIO,Γ12,,54,2,50126854,0,0,832,,2,Jan  1 1900 05:25:00:000AM,1900-01-01 06:36:00,,1900-01-01 05:25:00,,1268
1,ΚΑΜΑΤΕΡΟ - ΑΓ. ΝΙΚΟΛΑΟΣ - ΙΛΙΟΝ - ΠΟΛΥΤΕΧΝΕΙΟ (ΚΥΚΛΙΚΗ),KAMATERO - AG. NIKOLAOS - ILION - POLYTECHNEIO,Γ12,,54,2,50126862,0,0,832,,3,Jan  1 1900 05:50:00:000AM,1900-01-01 07:06:00,,1900-01-01 05:50:00,,1269
1,ΚΑΜΑΤΕΡΟ - ΑΓ. ΝΙΚΟΛΑΟΣ - ΙΛΙΟΝ - ΠΟΛΥΤΕΧΝΕΙΟ (ΚΥΚΛΙΚΗ),KAMATERO - AG. NIKOLAOS - ILION - POLYTECHNEIO,Γ12,,54,3,50126849,0,0,832,,4,Jan  1 1900 06:10:00:000AM,1900-01-01 07:27:00,,1900-01-01 06:10:00,,1267
1,ΚΑΜΑΤΕΡΟ - ΑΓ. ΝΙΚΟΛΑΟΣ - ΙΛΙΟΝ - ΠΟΛΥΤΕΧΝΕΙΟ (ΚΥΚΛΙΚΗ),KAMATERO - AG. NIKOLAOS - ILION - POLYTECHNEIO,Γ12,,54,2,50126870,0,0,832,,5,Jan  1 1900 06:25:00:000AM,1900-01-01 07:45:00,,1900-01-01 06:25:00,,2295
1,ΚΑΜΑΤΕΡΟ - ΑΓ. ΝΙΚΟΛΑΟΣ - ΙΛΙΟΝ - ΠΟΛΥΤΕΧΝΕΙΟ (ΚΥΚΛΙΚΗ),KAMATERO - AG. NIKOLAOS - ILION - POLYTECHNEIO,Γ12,,54,3,50126855,0,0,832,,6,Jan  1 1900 06:40:00:000AM,1900-01-01 08:05:00,,1900-01-01 06:40:00,,1268
1,ΚΑΜΑΤΕΡΟ - ΑΓ. ΝΙΚΟΛΑΟΣ - ΙΛΙΟΝ - ΠΟΛΥΤΕΧΝΕΙΟ (ΚΥΚΛΙΚΗ),KAMATERO - AG. NIKOLAOS - ILION - POLYTECHNEIO,Γ12,,54,2,50126876,0,0,832,,7,Jan  1 1900 06:55:00:000AM,1900-01-01 08:24:00,,1900-01-01 06:55:00,,2296
1,ΚΑΜΑΤΕΡΟ - ΑΓ. ΝΙΚΟΛΑΟΣ - ΙΛΙΟΝ - ΠΟΛΥΤΕΧΝΕΙΟ (ΚΥΚΛΙΚΗ),KAMATERO - AG. NIKOLAOS - ILION - POLYTECHNEIO,Γ12,,54,3,50126863,0,0,832,,8,Jan  1 1900 07:10:00:000AM,1900-01-01 08:40:00,,1900-01-01 07:10:00,,1269
1,ΚΑΜΑΤΕΡΟ - ΑΓ. ΝΙΚΟΛΑΟΣ - ΙΛΙΟΝ - ΠΟΛΥΤΕΧΝΕΙΟ (ΚΥΚΛΙΚΗ),KAMATERO - AG. NIKOLAOS - ILION - POLYTECHNEIO,Γ12,,54,2,50126882,0,0,832,,9,Jan  1 1900 07:20:00:000AM,1900-01-01 08:50:00,,1900-01-01 07:20:00,,3697
1,ΚΑΜΑΤΕΡΟ - ΑΓ. ΝΙΚΟΛΑΟΣ - ΙΛΙΟΝ - ΠΟΛΥΤΕΧΝΕΙΟ (ΚΥΚΛΙΚΗ),KAMATERO - AG. NIKOLAOS - ILION - POLYTECHNEIO,Γ12,,54,4,50126850,0,0,832,,10,Jan  1 1900 07:35:00:000AM,1900-01-01 09:05:00,,1900-01-01 07:35:00,,1267
1,ΚΑΜΑΤΕΡΟ - ΑΓ. ΝΙΚΟΛΑΟΣ - ΙΛΙΟΝ - ΠΟΛΥΤΕΧΝΕΙΟ (ΚΥΚΛΙΚΗ),KAMATERO - AG. NIKOLAOS - ILION - POLYTECHNEIO,Γ12,,54,3,50126871,0,0,832,,11,Jan  1 1900 07:45:00:000AM,1900-01-01 09:15:00,,1900-01-01 07:45:00,,2295
1,ΚΑΜΑΤΕΡΟ - ΑΓ. ΝΙΚΟΛΑΟΣ - ΙΛΙΟΝ - ΠΟΛΥΤΕΧΝΕΙΟ (ΚΥΚΛΙΚΗ),KAMATERO - AG. NIKOLAOS - ILION - POLYTECHNEIO,Γ12,,54,2,50126888,0,0,832,,12,Jan  1 1900 08:00:00:000AM,1900-01-01 09:30:00,,1900-01-01 08:00:00,,3698
1,ΚΑΜΑΤΕΡΟ - ΑΓ. ΝΙΚΟΛΑΟΣ - ΙΛΙΟΝ - ΠΟΛΥΤΕΧΝΕΙΟ (ΚΥΚΛΙΚΗ),KAMATERO - AG. NIKOLAOS - ILION - POLYTECHNEIO,Γ12,,54,4,50126856,0,0,832,,13,Jan  1 1900 08:10:00:000AM,1900-01-01 09:40:00,,1900-01-01 08:10:00,,1268
