line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,2,50141357,0,0,1550,,1,Jan  1 1900 05:40:00:000AM,1900-01-01 07:05:00,,1900-01-01 05:40:00,,3943
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,3,50141340,0,0,1550,,2,Jan  1 1900 06:35:00:000AM,1900-01-01 08:09:00,,1900-01-01 06:35:00,,3940
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,3,50141358,0,0,1550,,3,Jan  1 1900 07:10:00:000AM,1900-01-01 08:50:00,,1900-01-01 07:10:00,,3943
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,3,50141374,0,0,1550,,4,Jan  1 1900 07:55:00:000AM,1900-01-01 09:44:00,,1900-01-01 07:55:00,,3946
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,4,50141359,0,0,1550,,18,Jan  1 1900 08:50:00:000AM,1900-01-01 10:35:00,,1900-01-01 08:50:00,,3943
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,5,50141326,0,0,1550,,7,Jan  1 1900 10:20:00:000AM,1900-01-01 12:10:00,,1900-01-01 10:20:00,,3938
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,7,50141388,0,0,1550,,8,Jan  1 1900 11:00:00:000AM,1900-01-01 12:50:00,,1900-01-01 11:00:00,,3942
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,8,50141354,0,0,1550,,11,Jan  1 1900 01:25:00:000PM,1900-01-01 15:15:00,,1900-01-01 13:25:00,,3944
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,8,50141395,0,0,1550,,12,Jan  1 1900 02:10:00:000PM,1900-01-01 16:00:00,,1900-01-01 14:10:00,,3940
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,7,50141398,0,0,1550,,13,Jan  1 1900 02:45:00:000PM,1900-01-01 16:30:00,,1900-01-01 14:45:00,,3943
