line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,2,50158637,0,0,1550,,1,Jan  1 1900 05:40:00:000AM,1900-01-01 07:05:00,,1900-01-01 05:40:00,,3943
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,3,50158620,0,0,1550,,2,Jan  1 1900 06:35:00:000AM,1900-01-01 08:09:00,,1900-01-01 06:35:00,,3940
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,3,50158638,0,0,1550,,3,Jan  1 1900 07:15:00:000AM,1900-01-01 08:55:00,,1900-01-01 07:15:00,,3943
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,3,50158654,0,0,1550,,4,Jan  1 1900 07:55:00:000AM,1900-01-01 09:44:00,,1900-01-01 07:55:00,,3946
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,3,50158659,0,0,1550,,5,Jan  1 1900 08:35:00:000AM,1900-01-01 10:25:00,,1900-01-01 08:35:00,,3947
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,4,50158650,0,0,1550,,6,Jan  1 1900 09:20:00:000AM,1900-01-01 11:10:00,,1900-01-01 09:20:00,,3945
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,5,50158606,0,0,1550,,7,Jan  1 1900 10:15:00:000AM,1900-01-01 12:05:00,,1900-01-01 10:15:00,,3938
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,7,50158668,0,0,1550,,8,Jan  1 1900 11:05:00:000AM,1900-01-01 12:55:00,,1900-01-01 11:05:00,,3942
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,5,50158656,0,0,1550,,9,Jan  1 1900 11:55:00:000AM,1900-01-01 13:45:00,,1900-01-01 11:55:00,,3946
1,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),AXARNAI-KOKKINOS MYLOS-ST.KATO PATHSIA (VIA HARAVGI),755Β,,54,5,50158661,0,0,1550,,10,Jan  1 1900 12:45:00:000PM,1900-01-01 14:35:00,,1900-01-01 12:45:00,,3947
