line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 15:35:00,,1900-01-01 14:40:00,,2051
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 15:35:00,,1900-01-01 14:40:00,,2051
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 15:50:00,,1900-01-01 14:55:00,,2048
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 16:10:00,,1900-01-01 15:15:00,,2050
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 16:30:00,,1900-01-01 15:35:00,,2051
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 16:45:00,,1900-01-01 15:50:00,,2048
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 17:05:00,,1900-01-01 16:10:00,,2050
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 17:05:00,,1900-01-01 16:10:00,,2050
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 17:25:00,,1900-01-01 16:30:00,,2051
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 17:40:00,,1900-01-01 16:45:00,,2048
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 18:00:00,,1900-01-01 17:05:00,,2050
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 18:25:00,,1900-01-01 17:30:00,,2051
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 18:55:00,,1900-01-01 18:00:00,,2048
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 19:20:00,,1900-01-01 18:25:00,,2050
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 19:40:00,,1900-01-01 18:45:00,,2051
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 20:03:00,,1900-01-01 19:10:00,,2048
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 20:30:00,,1900-01-01 19:40:00,,2051
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 20:55:00,,1900-01-01 20:05:00,,2050
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 21:15:00,,1900-01-01 20:30:00,,2051
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 21:40:00,,1900-01-01 20:55:00,,2050
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 22:05:00,,1900-01-01 21:20:00,,2051
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 22:25:00,,1900-01-01 21:40:00,,2050
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 22:45:00,,1900-01-01 22:05:00,,2051
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 23:15:00,,1900-01-01 22:35:00,,2050
1,ΧΑΪΔΑΡΙ - ΣΤ. ΑΓΙΑ ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),CHAIDARI - ST. AGIA MARINA,811,,61,,,,,,,,,1900-01-01 23:55:00,,1900-01-01 23:15:00,,2050
