line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 11:25:00,,1900-01-01 10:45:00,,4054
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 11:45:00,,1900-01-01 11:05:00,,4053
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 12:30:00,,1900-01-01 11:50:00,,4053
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 12:50:00,,1900-01-01 12:10:00,,4054
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 13:10:00,,1900-01-01 12:30:00,,4053
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 13:30:00,,1900-01-01 12:50:00,,4054
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 13:50:00,,1900-01-01 13:10:00,,4053
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 14:10:00,,1900-01-01 13:30:00,,4054
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 14:30:00,,1900-01-01 13:50:00,,4053
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 14:50:00,,1900-01-01 14:10:00,,4054
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 15:10:00,,1900-01-01 14:30:00,,4053
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 15:55:00,,1900-01-01 15:15:00,,4053
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 16:15:00,,1900-01-01 15:35:00,,4054
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 16:35:00,,1900-01-01 15:55:00,,4053
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 16:55:00,,1900-01-01 16:15:00,,4054
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 17:15:00,,1900-01-01 16:35:00,,4053
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 17:55:00,,1900-01-01 17:15:00,,4054
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 18:15:00,,1900-01-01 17:35:00,,4053
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 19:00:00,,1900-01-01 18:20:00,,4053
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 19:20:00,,1900-01-01 18:40:00,,4054
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 19:40:00,,1900-01-01 19:00:00,,4053
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 20:00:00,,1900-01-01 19:20:00,,4054
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 20:20:00,,1900-01-01 19:40:00,,4053
1,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),ST. KIFISIA - NOS. AG. ANARGYROI,543,,158,,,,,,,,,1900-01-01 20:40:00,,1900-01-01 20:00:00,,4054
